do I need to provide PPE to customers?,AdditionalWorkplaceHygiene
what can I do to decrease the spread of disease in my workplace?,AdditionalWorkplaceHygiene
How do I revise my workspace to reduce transmission risks?,AdditionalWorkplaceHygiene
any additional tips to decrease spread?,AdditionalWorkplaceHygiene
how to stay hygiene?,AdditionalWorkplaceHygiene
what can I do at the office to decrease spread?,AdditionalWorkplaceHygiene
how to stay safe?,AdditionalWorkplaceHygiene
how to decrease corona spread,AdditionalWorkplaceHygiene
how to decrease covid spread?,AdditionalWorkplaceHygiene
Animal contact,AnimalContact
can my dog catch corona virus?,AnimalContact
Should i be far from dogs?,AnimalContact
Will cats get corona?,AnimalContact
Should I avoid contact with pets or other animals if I am sick with COVID-19?,AnimalContact
Will dogs get corona?,AnimalContact
do dogs and cats get sick of corona?,AnimalContact
do dogs and cats get sick from corona virus?,AnimalContact
can I get this from my dog?,AnimalContact
can I get this from my cat?,AnimalContact
can I get covid-19 from my pet?,AnimalContact
Can I go to a funeral of someone who died of  Corona Virus (COVID-19)?,AttendingFuneral
Can I go to a funeral? ,AttendingFuneral
Should I avoid funerals?,AttendingFuneral
Are funerals safe? ,AttendingFuneral
Am I at risk if I go to a funeral or visitation service for someone who died of COVID-19?,AttendingFuneral
What is the center for disease control doing to help?,CDC_Response
CDC response,CDC_Response
Does CDC work to protect public health?,CDC_Response
How is CDC helping Americans prepare?,CDC_Response
What is CDC doing about COVID-19?,CDC_Response
Should children wear masks?,ChildrenAndFaceMasks
Should children go out with mask or without mask?,ChildrenAndFaceMasks
are facemasks recommended for children,ChildrenAndFaceMasks
does my daughter need to wear a facemask?,ChildrenAndFaceMasks
Children and facemasks,ChildrenAndFaceMasks
Should we keep children at home?,ChildrenAndFaceMasks
do kids need to limit in person contact?,ChildrenSocializing
can children go out to play?,ChildrenSocializing
Can children play ?,ChildrenSocializing
can children go outside?,ChildrenSocializing
Can my kid still go to group activities?,ChildrenSocializing
"While school’s out, can my child hang out with their friends?",ChildrenSocializing
Children socializing,ChildrenSocializing
While school is out can my child go to sports practice?,ChildrenSocializing
Is social distancing important for kids too?,ChildrenSocializing
Can community spread happen? ,CommunitySpread
How does community spread happen? ,CommunitySpread
Why is community spread of this virus important?,CommunitySpread
Does  Corona Virus (COVID-19) spread to an entire community?,CommunitySpread
What does that term community spread mean?,CommunitySpread
What is community spread?,CommunitySpread
will corona spread in community?,CommunitySpread
will covid spread in community?,CommunitySpread
Can covid spread in community?,CommunitySpread
Community Spread,CommunitySpread
is my business in critical position?,CriticalBusinesses
Is my business loss?,CriticalBusinesses
how to decide whether my business gets affected?,CriticalBusinesses
How do I know if my business is considered critical?,CriticalBusinesses
Is my workplace a critical business?,CriticalBusinesses
which businesses are thought of as critical?,CriticalBusinesses
How do I find out if my business is considered essential?,CriticalBusinesses
Which businesses are deemed critical?,CriticalBusinesses
Where do you get your information?,DataSource
Are you sure?,DataSource
Is this information accurate?,DataSource
Where did you learn this?,DataSource
Is this true?,DataSource
How do you know this?,DataSource
What cleaning products should I use to protect against COVID-19?,DisinfectingSurfaces
How do I clean my home to remove virus molecules,DisinfectingSurfaces
how should i disinfect my home?,DisinfectingSurfaces
Do I need to clean with bleach?,DisinfectingSurfaces
Disinfecting surfaces,DisinfectingSurfaces
Where do i need to disinfect?,DisinfectingSurfaces
what products are best at disinfecting?,DisinfectingSurfaces
any cleaning recommendations?,DisinfectingTheWorkplace
how do we keep the customer area disinfected?,DisinfectingTheWorkplace
how much extra cleaning should I do?,DisinfectingTheWorkplace
How do I clean and disinfect machinery or equipment?,DisinfectingTheWorkplace
what areas do I need to disinfect?,DisinfectingTheWorkplace
do I need to prove I am covid free to return to work?,DocumentEmployeeIllness
do I need to get a doctor's excuse if I test positive?,DocumentEmployeeIllness
Does an employee need to bring a doctor's note ?,DocumentEmployeeIllness
can I go back to work without a doctor's note?,DocumentEmployeeIllness
can my employer require a doctor's note?,DocumentEmployeeIllness
if an employee seems like they might have covid,EmployeeShowsSymptoms
What should I do if an employee shows symptoms of Covid-19?,EmployeeShowsSymptoms
do I need to quarantine the area where a sick person worked?,EmployeeShowsSymptoms
what if someone i work with is sick?,EmployeeShowsSymptoms
how do I disinfect if a sick person showed up at work?,EmployeeShowsSymptoms
what if an employee tests positive after they have been reporting to work?,EmployeeTestsPositive
someone I worked with is now sick. do I need to disinfect the office?,EmployeeTestsPositive
how to respond to possible exposure at work?,EmployeeTestsPositive
how to disinfect the workplace after someone has been ill?,EmployeeTestsPositive
my employee came to work then got sick. now what do I do?,EmployeeTestsPositive
should i stay home from work if I've been in contact with a covid patient?,ExposedEmployees
should my employees stay home from work if they are exposed to covid?,ExposedEmployees
My spouse had covid. Can I go back to work anyway?,ExposedEmployees
can i return to work even though my housemate has covid?,ExposedEmployees
how long should I stay home from work after being near someone with covid?,ExposedEmployees
stop,goodbyes
g'day,goodbyes
i'm leaving,goodbyes
no problem,goodbyes
laters,goodbyes
leave,goodbyes
logging off,goodbyes
my time is up,goodbyes
ok bye,goodbyes
out of time,goodbyes
over and out,goodbyes
run,goodbyes
see ya,goodbyes
see ya soon,goodbyes
see you,goodbyes
see you later,goodbyes
should be going,goodbyes
should go,goodbyes
signing off,goodbyes
signing out,goodbyes
so long,goodbyes
soon,goodbyes
take care,goodbyes
take it easy,goodbyes
sorry got to go,goodbyes
thank you for the info,goodbyes
no thank you,goodbyes
youre welcome now bye,goodbyes
shut up,goodbyes
thanks for your help,goodbyes
be quiet robot,goodbyes
done,goodbyes
dont need your help at all,goodbyes
good bye hohoho,goodbyes
goodbye joto,goodbyes
got to go bye nice time talking to you,goodbyes
ttyl,goodbyes
ty,goodbyes
thx,goodbyes
bye im going to play a game,goodbyes
i am done with you,goodbyes
o thank u,goodbyes
ok thanks,goodbyes
ok thank you for your time,goodbyes
ok thank you,goodbyes
gtg go right now ok,goodbyes
good night,goodbyes
see ya later,goodbyes
talk to you soon,goodbyes
talk to you later,goodbyes
thanks watson,goodbyes
thank you,goodbyes
then bye,goodbyes
toodles,goodbyes
thanks,goodbyes
adieu,goodbyes
adios,goodbyes
au revoir,goodbyes
bye,goodbyes
bye bye,goodbyes
bye now,goodbyes
catch ya later,goodbyes
cya,goodbyes
farewell,goodbyes
go,goodbyes
goodbye,goodbyes
good bye,goodbyes
good day,goodbyes
gday,goodbyes
gotta go,goodbyes
gotta run,goodbyes
gtg,goodbyes
have a good one,goodbyes
im leaving,goodbyes
later,goodbyes
hey there,greeting
ciao,greeting
hiya,greeting
buenos dias,greeting
aloha,greeting
bonjour,greeting
namaste,greeting
good evening,greeting
Good afternoon,greeting
Good morning,greeting
feeling a bit low,greeting
heya,greeting
Olla,greeting
yello,greeting
yo,greeting
hello,greeting
hello watson,greeting
hi,greeting
hey,greeting
hola,greeting
hi there,greeting
howdy,greeting
is hand sanitizer effective against covid-19?,HandwashingTips
Handwashing tips,HandwashingTips
handwashing products,HandwashingTips
will washing my hands help protect me?,HandwashingTips
will frequent handwashing help?,HandwashingTips
how do i wash my hands correctly?,HandwashingTips
Should I use soap and water or a hand sanitizer to protect against COVID-19?,HandwashingTips
should i keep washing my hands,HandwashingTips
how do I ship a specimen to the CDC lab?,HealthDeptRecommendedActions
can CDC help my local health dept get protective gear?,HealthDeptRecommendedActions
What should healthcare professionals and health departments do?,HealthDeptRecommendedActions
does CDC provide protocols for labs to test covid-19?,HealthDeptRecommendedActions
Health dept recommended actions,HealthDeptRecommendedActions
can CDC help my local board of health,HealthDeptRecommendedActions
Does  Corona Virus (COVID-19) affect older people more?,HigherRiskPopulations
Can Millennials get it? ,HigherRiskPopulations
Who is at higher risk for serious illness from COVID-19?,HigherRiskPopulations
Higher risk populations,HigherRiskPopulations
How does it affect immunocompromised people? ,HigherRiskPopulations
How does this impact the elderly? ,HigherRiskPopulations
I am over the age of 60.,HigherRiskPopulations
I have underlying health issues.,HigherRiskPopulations
I have a chronic illness.,HigherRiskPopulations
Do seniors need to take extra precautions?,HigherRiskPopulations
What does immunocompromised mean? ,HigherRiskPopulations
Does Gen-Y get it?,HigherRiskPopulations
Can Gen-X get sick? ,HigherRiskPopulations
Who is dying? ,HigherRiskPopulations
Why are people with pre-existing conditions more at risk?,HigherRiskPopulations
Are older adults more likely to contract the disease?,HigherRiskPopulations
Are all the old people going to die? ,HigherRiskPopulations
